hostname,manufacturer,model,service_tag,operating_system,domain,logged_in_user,order_number,purchase_cost,purchase_date,warranty_expiry,end_of_life_date,supplier,disposal_date,disposal_method
NG-DT-1011,Dell,OptiPlex 7010,KL1070,Windows 11 Pro,northgate.local,ivy.kentish,PO-20010,899.00,2023-07-01,2026-06-30,2028-06-29,Ravensworth IT Distribution,,
NG-LT-1012,Lenovo,ThinkPad T14 Gen 5,LM1077,Windows 11 Pro,northgate.local,jack.lomax,PO-20011,1399.00,2023-08-08,2026-08-07,2028-08-06,Ravensworth IT Distribution,,
NG-DT-1013,Lenovo,ThinkCentre M70q,MN1084,Windows 11 Pro,northgate.local,poppy.marchant,PO-20012,799.00,2023-09-15,2026-09-14,2028-09-13,Tidewell Print Solutions,,
NG-LT-1014,HP,EliteBook 840 G11,NO1091,Windows 11 Pro,northgate.local,charlie.newbold,PO-20013,1479.00,2023-10-23,2026-10-22,2028-10-21,Ravensworth IT Distribution,,
NG-DT-1015,HP,ProDesk 400 G9,OP1098,Windows 11 Pro,northgate.local,mia.ollerton,PO-20014,749.00,2023-11-30,2026-11-29,2028-11-28,Ravensworth IT Distribution,,
NG-LT-1016,Apple,MacBook Pro 14 M4,PQ1105,macOS 15,northgate.local,thomas.pemberton,PO-20015,2199.00,2024-01-07,2027-01-06,2029-01-05,Tidewell Print Solutions,,
NG-LT-1017,Dell,Latitude 5550,QR1112,Windows 11 Pro,northgate.local,willow.quarrell,PO-20016,1249.00,2024-02-14,2027-02-13,2029-02-12,Ravensworth IT Distribution,,
NG-LT-1018,Dell,Latitude 7450,RS1119,Windows 11 Pro,northgate.local,oscar.rushworth,PO-20017,1599.00,2024-03-23,2027-03-23,2029-03-22,Ravensworth IT Distribution,2029-04-21,WEEE recycling - certificate on file
NG-DT-1019,Dell,OptiPlex 7010,ST1126,Windows 11 Pro,northgate.local,rosie.sanderling,PO-20018,899.00,2024-04-30,2027-04-30,2029-04-29,Tidewell Print Solutions,,
NG-LT-1020,Lenovo,ThinkPad T14 Gen 5,TU1133,Windows 11 Pro,northgate.local,george.thorncroft,PO-20019,1399.00,2024-06-07,2027-06-07,2029-06-06,Ravensworth IT Distribution,,
NG-DT-1021,Lenovo,ThinkCentre M70q,UV1140,Windows 11 Pro,northgate.local,ella.underhill,PO-20020,799.00,2024-07-15,2027-07-15,2029-07-14,Ravensworth IT Distribution,,
NG-LT-1022,HP,EliteBook 840 G11,VW1147,Windows 11 Pro,northgate.local,theo.vasey,PO-20021,1479.00,2024-08-22,2027-08-22,2029-08-21,Tidewell Print Solutions,,
NG-DT-1023,HP,ProDesk 400 G9,WX1154,Windows 11 Pro,northgate.local,sofia.wetherby,PO-20022,749.00,2024-09-29,2027-09-29,2029-09-28,Ravensworth IT Distribution,,
NG-LT-1024,Apple,MacBook Pro 14 M4,XY1161,macOS 15,northgate.local,alfie.yarrow,PO-20023,2199.00,2024-11-06,2027-11-06,2029-11-05,Ravensworth IT Distribution,,
NG-LT-1025,Dell,Latitude 5550,YZ1168,Windows 11 Pro,northgate.local,olivia.ashworth,PO-20024,1249.00,2024-12-14,2027-12-14,2029-12-13,Tidewell Print Solutions,,
NG-LT-1026,Dell,Latitude 7450,ZB1175,Windows 11 Pro,northgate.local,noah.bramley,PO-20025,1599.00,2025-01-21,2028-01-21,2030-01-20,Ravensworth IT Distribution,,
NG-DT-1027,Dell,OptiPlex 7010,AC1182,Windows 11 Pro,northgate.local,amelia.cavendish,PO-20026,899.00,2025-02-28,2028-02-28,2030-02-27,Ravensworth IT Distribution,,
NG-LT-1028,Lenovo,ThinkPad T14 Gen 5,BD1189,Windows 11 Pro,northgate.local,oliver.dunmore,PO-20027,1399.00,2025-04-07,2028-04-06,2030-04-06,Tidewell Print Solutions,,
NG-DT-1029,Lenovo,ThinkCentre M70q,CE1196,Windows 11 Pro,northgate.local,isla.ellwood,PO-20028,799.00,2025-05-15,2028-05-14,2030-05-14,Ravensworth IT Distribution,2030-06-13,WEEE recycling - certificate on file
NG-LT-1030,HP,EliteBook 840 G11,DF1203,Windows 11 Pro,northgate.local,arthur.fairbrother,PO-20029,1479.00,2025-06-22,2028-06-21,2030-06-21,Ravensworth IT Distribution,,
NG-DT-1031,HP,ProDesk 400 G9,EG1210,Windows 11 Pro,northgate.local,freya.gledhill,PO-20030,749.00,2025-07-30,2028-07-29,2030-07-29,Tidewell Print Solutions,,
NG-LT-1032,Apple,MacBook Pro 14 M4,FH1217,macOS 15,northgate.local,leo.hartley,PO-20031,2199.00,2025-09-06,2028-09-05,2030-09-05,Ravensworth IT Distribution,,
NG-LT-1033,Dell,Latitude 5550,GI1224,Windows 11 Pro,northgate.local,ava.inskip,PO-20032,1249.00,2025-10-14,2028-10-13,2030-10-13,Ravensworth IT Distribution,,
NG-LT-1034,Dell,Latitude 7450,HJ1231,Windows 11 Pro,northgate.local,henry.jerrard,PO-20033,1599.00,2025-11-21,2028-11-20,2030-11-20,Tidewell Print Solutions,,
NG-DT-1035,Dell,OptiPlex 7010,IK1238,Windows 11 Pro,northgate.local,ivy.kentish,PO-20034,899.00,2025-12-29,2028-12-28,2030-12-28,Ravensworth IT Distribution,,
NG-LT-1036,Lenovo,ThinkPad T14 Gen 5,JL1245,Windows 11 Pro,northgate.local,jack.lomax,PO-20035,1399.00,2026-02-05,2029-02-04,2031-02-04,Ravensworth IT Distribution,,
